name,title,tag,link
eee001.hw001,[EEE/TTT/Q2] Fab bay tool module subsys check,FAB; BAY; TOOL; MODULE; SUBSYS; COMPONENT,https://example.com/proc/EEE/TTT/Q2/fab-deep
eee002.hw002,[EEE/TTT/Q2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q2/homing-axis_x
eee003.hw003,[EEE/TTT/Q2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q2/jog-axis_x
eee004.hw004,[EEE/TTT/Q2] Servo AXIS_Y Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q2/homing-axis_y
eee005.hw005,[EEE/TTT/Q2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q2/jog-axis_y
eee006.hw006,[EEE/TTT/Q2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q2/homing-axis_z
eee007.hw007,[EEE/TTT/Q2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q2/jog-axis_z
eee008.hw008,[EEE/TTT/Q2] Servo AXIS_R Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q2/homing-axis_r
eee009.hw009,[EEE/TTT/Q2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q2/jog-axis_r
eee010.hw010,[EEE/TTT/Q2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q2/homing-axis_t
eee011.hw011,[EEE/TTT/Q2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q2/jog-axis_t
eee012.hw012,[EEE/TTT/Q2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/EEE/TTT/Q2/stepper-feed_a
eee013.hw013,[EEE/TTT/Q2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/EEE/TTT/Q2/stepper-feed_b
eee014.hw014,[EEE/TTT/Q2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/EEE/TTT/Q2/stepper-feed_c
eee015.hw015,[EEE/TTT/Q2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/EEE/TTT/Q2/spindle-sp_01
eee016.hw016,[EEE/TTT/Q2] Spindle SP_02 Speed Tune — full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_02,https://example.com/proc/EEE/TTT/Q2/spindle-sp_02
eee017.hw017,[EEE/TTT/Q2] Spindle SP_03 Speed Tune,MOTOR; SPINDLE; SP_03,https://example.com/proc/EEE/TTT/Q2/spindle-sp_03
eee018.hw018,[EEE/TTT/Q2] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/EEE/TTT/Q2/prox-01
eee019.hw019,[EEE/TTT/Q2] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/EEE/TTT/Q2/prox-02
eee020.hw020,[EEE/TTT/Q2] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/EEE/TTT/Q2/prox-03
eee021.hw021,[EEE/TTT/Q2] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/EEE/TTT/Q2/prox-04
eee022.hw022,[EEE/TTT/Q2] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/EEE/TTT/Q2/prox-05
eee023.hw023,[EEE/TTT/Q2] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/EEE/TTT/Q2/prox-06
eee024.hw024,[EEE/TTT/Q2] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/EEE/TTT/Q2/prox-07
