name,title,link
aaa.taall01,[AAA/TTT/all] Cross-machine Safety Interlock Reference,https://example.com/proc/AAA/TTT/all/01
aaa.taall02,[AAA/TTT/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/AAA/TTT/all/02
aaa.taall03,[AAA/TTT/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/AAA/TTT/all/03
aaa.taall04,[AAA/TTT/all] Global Parameter Export and Import Guide,https://example.com/proc/AAA/TTT/all/04
aaa.taall05,[AAA/TTT/all] Unified Alarm Code Master List,https://example.com/proc/AAA/TTT/all/05
aaa.taall06,[AAA/TTT/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/AAA/TTT/all/06
aaa.taall07,[AAA/TTT/all] Standard Naming Convention for Procedures,https://example.com/proc/AAA/TTT/all/07
aaa.taall08,[AAA/TTT/all] Part Release Notes and Change Log Index,https://example.com/proc/AAA/TTT/all/08
aaa.taall09,[AAA/TTT/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/AAA/TTT/all/09
aaa.taall10,[AAA/TTT/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/AAA/TTT/all/10
