name,title,tag,link
eee001.hw001,[EEE/TTT/Q1] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q1/homing-axis_x
eee002.hw002,[EEE/TTT/Q1] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q1/jog-axis_x
eee003.hw003,[EEE/TTT/Q1] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q1/homing-axis_y
eee004.hw004,[EEE/TTT/Q1] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q1/jog-axis_y
eee005.hw005,[EEE/TTT/Q1] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q1/homing-axis_z
eee006.hw006,[EEE/TTT/Q1] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q1/jog-axis_z
eee007.hw007,[EEE/TTT/Q1] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q1/homing-axis_r
eee008.hw008,[EEE/TTT/Q1] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q1/jog-axis_r
eee009.hw009,[EEE/TTT/Q1] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q1/homing-axis_t
eee010.hw010,[EEE/TTT/Q1] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q1/jog-axis_t
eee011.hw011,[EEE/TTT/Q1] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/EEE/TTT/Q1/stepper-feed_a
eee012.hw012,[EEE/TTT/Q1] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/EEE/TTT/Q1/stepper-feed_b
eee013.hw013,[EEE/TTT/Q1] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/EEE/TTT/Q1/stepper-feed_c
eee014.hw014,[EEE/TTT/Q1] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/EEE/TTT/Q1/spindle-sp_01
eee015.hw015,[EEE/TTT/Q1] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/EEE/TTT/Q1/spindle-sp_02
eee016.hw016,[EEE/TTT/Q1] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/EEE/TTT/Q1/spindle-sp_03
eee017.hw017,[EEE/TTT/Q1] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/EEE/TTT/Q1/prox-01
eee018.hw018,[EEE/TTT/Q1] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/EEE/TTT/Q1/prox-02
eee019.hw019,[EEE/TTT/Q1] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/EEE/TTT/Q1/prox-03
eee020.hw020,[EEE/TTT/Q1] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/EEE/TTT/Q1/prox-04
eee021.hw021,[EEE/TTT/Q1] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/EEE/TTT/Q1/prox-05
eee022.hw022,[EEE/TTT/Q1] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/EEE/TTT/Q1/prox-06
eee023.hw023,[EEE/TTT/Q1] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/EEE/TTT/Q1/prox-07
eee024.hw024,[EEE/TTT/Q1] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/EEE/TTT/Q1/prox-08
eee025.hw025,[EEE/TTT/Q1] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/EEE/TTT/Q1/enc-01
eee026.hw026,[EEE/TTT/Q1] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/EEE/TTT/Q1/enc-02
eee027.hw027,[EEE/TTT/Q1] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/EEE/TTT/Q1/enc-03
