name,title,link
bbb.taall01,[BBB/TTT/all] Cross-machine Safety Interlock Reference,https://example.com/proc/BBB/TTT/all/01
bbb.taall02,[BBB/TTT/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/BBB/TTT/all/02
bbb.taall03,[BBB/TTT/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/BBB/TTT/all/03
bbb.taall04,[BBB/TTT/all] Global Parameter Export and Import Guide,https://example.com/proc/BBB/TTT/all/04
bbb.taall05,[BBB/TTT/all] Unified Alarm Code Master List,https://example.com/proc/BBB/TTT/all/05
bbb.taall06,[BBB/TTT/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/BBB/TTT/all/06
bbb.taall07,[BBB/TTT/all] Standard Naming Convention for Procedures,https://example.com/proc/BBB/TTT/all/07
bbb.taall08,[BBB/TTT/all] Part Release Notes and Change Log Index,https://example.com/proc/BBB/TTT/all/08
bbb.taall09,[BBB/TTT/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/BBB/TTT/all/09
bbb.taall10,[BBB/TTT/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/BBB/TTT/all/10
